"N20141122T044453801ID30F22.IMG",2048,2048," 29.45981 ","22","FFP-Vis_Orange","2014-11-22T04:46:05.229","2014-11-22T04:46:05.427"
"N20141122T044501581ID30F23.IMG",2048,2048," 29.45971 ","23","FFP-Vis_Green","2014-11-22T04:46:13.009","2014-11-22T04:46:13.302"
"N20141122T044509456ID30F24.IMG",2048,2048," 29.45961 ","24","FFP-Vis_Blue","2014-11-22T04:46:20.884","2014-11-22T04:46:21.172"
"N20141122T044517756ID30F27.IMG",2048,2048," 29.45950 ","27","FFP-Vis_Hydra","2014-11-22T04:46:29.184","2014-11-22T04:46:30.084"
"N20141122T044526261ID30F28.IMG",2048,2048," 29.45938 ","28","FFP-Vis_Red","2014-11-22T04:46:37.689","2014-11-22T04:46:38.013"
"N20141122T044534606ID30F51.IMG",2048,2048," 29.45927 ","51","Ortho_FFP-IR","2014-11-22T04:46:46.034","2014-11-22T04:46:47.006"
"N20141122T044543156ID30F61.IMG",2048,2048," 29.45916 ","61","Fe2O3_FFP-IR","2014-11-22T04:46:54.584","2014-11-22T04:46:56.984"
"N20141122T045753796ID30F22.IMG",2048,2048," 29.44932 ","22","FFP-Vis_Orange","2014-11-22T04:59:05.223","2014-11-22T04:59:05.421"
"N20141122T045801571ID30F23.IMG",2048,2048," 29.44921 ","23","FFP-Vis_Green","2014-11-22T04:59:12.999","2014-11-22T04:59:13.292"
"N20141122T045809487ID30F24.IMG",2048,2048," 29.44911 ","24","FFP-Vis_Blue","2014-11-22T04:59:20.914","2014-11-22T04:59:21.203"
"N20141122T045817791ID30F27.IMG",2048,2048," 29.44899 ","27","FFP-Vis_Hydra","2014-11-22T04:59:29.219","2014-11-22T04:59:30.119"
"N20141122T045826271ID30F28.IMG",2048,2048," 29.44888 ","28","FFP-Vis_Red","2014-11-22T04:59:37.699","2014-11-22T04:59:38.023"
"N20141122T045834616ID30F51.IMG",2048,2048," 29.44876 ","51","Ortho_FFP-IR","2014-11-22T04:59:46.044","2014-11-22T04:59:47.016"
"N20141122T045843166ID30F61.IMG",2048,2048," 29.44865 ","61","Fe2O3_FFP-IR","2014-11-22T04:59:54.594","2014-11-22T04:59:56.994"
"N20141122T051253782ID30F22.IMG",2048,2048," 29.43722 ","22","FFP-Vis_Orange","2014-11-22T05:14:05.210","2014-11-22T05:14:05.408"
"N20141122T051301572ID30F23.IMG",2048,2048," 29.43712 ","23","FFP-Vis_Green","2014-11-22T05:14:13.000","2014-11-22T05:14:13.294"
"N20141122T051309452ID30F24.IMG",2048,2048," 29.43701 ","24","FFP-Vis_Blue","2014-11-22T05:14:20.880","2014-11-22T05:14:21.168"
"N20141122T051317757ID30F27.IMG",2048,2048," 29.43690 ","27","FFP-Vis_Hydra","2014-11-22T05:14:29.185","2014-11-22T05:14:30.085"
"N20141122T051326238ID30F28.IMG",2048,2048," 29.43679 ","28","FFP-Vis_Red","2014-11-22T05:14:37.666","2014-11-22T05:14:37.990"
"N20141122T051334582ID30F51.IMG",2048,2048," 29.43668 ","51","Ortho_FFP-IR","2014-11-22T05:14:46.010","2014-11-22T05:14:46.982"
"N20141122T051343132ID30F61.IMG",2048,2048," 29.43657 ","61","Fe2O3_FFP-IR","2014-11-22T05:14:54.560","2014-11-22T05:14:56.960"
"N20141122T055453799ID30F22.IMG",2048,2048," 29.40941 ","22","FFP-Vis_Orange","2014-11-22T05:56:05.228","2014-11-22T05:56:05.426"
