;From Mike Nolan, edited to remove extra entries and to add header
;wavelength (microns)   flux (W/m2/nm)  smoothing
 0.740   1.28413   0.03852  140.
 0.742   1.28011   0.03840  140.
 0.744   1.28219   0.03847  140.
 0.746   1.28355   0.03851  140.
 0.748   1.27980   0.03839  140.
 0.750   1.27264   0.03818  140.
 0.752   1.26772   0.03803  140.
 0.754   1.26575   0.03797  140.
 0.756   1.26195   0.03786  140.
 0.758   1.25390   0.03762  140.
 0.760   1.24359   0.03731  140.
 0.762   1.23425   0.03703  140.
 0.764   1.22482   0.03674  140.
 0.766   1.21494   0.03645  140.
 0.768   1.20911   0.03627  140.
 0.770   1.20522   0.03616  140.
 0.772   1.19972   0.03599  140.
 0.774   1.19312   0.03579  140.
 0.776   1.18652   0.03560  140.
 0.778   1.18031   0.03541  140.
 0.780   1.17458   0.03524  140.
 0.782   1.16896   0.03507  140.
 0.784   1.16342   0.03490  140.
 0.786   1.16003   0.03480  140.
 0.788   1.15801   0.03474  140.
 0.790   1.15190   0.03456  140.
 0.792   1.14056   0.03422  140.
 0.794   1.13193   0.03396  140.
 0.796   1.13039   0.03391  140.
 0.798   1.12986   0.03390  140.
 0.800   1.12657   0.03380  140.
 0.802   1.12225   0.03367  140.
 0.804   1.11774   0.03353  140.
 0.806   1.11329   0.03340  140.
 0.808   1.10970   0.03329  140.
 0.810   1.10856   0.03326  140.
 0.812   1.10901   0.03327  140.
 0.814   1.10630   0.03319  140.
 0.816   1.09730   0.03292  140.
 0.818   1.08405   0.03252  140.
 0.820   1.07291   0.03219  139.
 0.822   1.06858   0.03206  139.
 0.824   1.06890   0.03207  139.
 0.826   1.06864   0.03206  139.
 0.828   1.06463   0.03194  139.
 0.830   1.05676   0.03170  139.
 0.832   1.04745   0.03142  139.
 0.834   1.04064   0.03122  139.
 0.836   1.03736   0.03112  139.
 0.838   1.03427   0.03103  139.
 0.840   1.02924   0.03088  139.
 0.842   1.02277   0.03068  139.
 0.844   1.01620   0.03049  138.
 0.846   1.00651   0.03020  138.
 0.848   0.98825   0.02965  138.
 0.850   0.96304   0.02889  138.
 0.852   0.93811   0.02814  138.
 0.854   0.92617   0.02779  138.
 0.856   0.93736   0.02812  138.
 0.858   0.95963   0.02879  138.
 0.860   0.97484   0.02925  138.
 0.862   0.97696   0.02931  138.
 0.864   0.96668   0.02900  138.
 0.866   0.95558   0.02867  138.
 0.868   0.95847   0.02875  138.
 0.870   0.97054   0.02912  137.
 0.872   0.97559   0.02927  137.
 0.874   0.97004   0.02910  137.
 0.876   0.96169   0.02885  137.
 0.878   0.95452   0.02864  137.
 0.880   0.94722   0.02842  137.
 0.882   0.94051   0.02822  137.
 0.884   0.93510   0.02805  137.
 0.886   0.93065   0.02792  137.
 0.888   0.92796   0.02784  137.
 0.890   0.92559   0.02777  137.
 0.892   0.92110   0.02763  137.
 0.894   0.91563   0.02747  137.
 0.896   0.91025   0.02731  137.
 0.898   0.90304   0.02709  136.
 0.900   0.89460   0.02684  136.
 0.902   0.88982   0.02669  136.
 0.904   0.88928   0.02668  136.
 0.906   0.88722   0.02662  136.
 0.908   0.88174   0.02645  136.
 0.910   0.87714   0.02631  136.
 0.912   0.87585   0.02628  136.
 0.914   0.87521   0.02626  136.
 0.916   0.87197   0.02616  136.
 0.918   0.86505   0.02595  136.
 0.920   0.85501   0.02565  136.
 0.922   0.84503   0.02535  136.
 0.924   0.83995   0.02520  136.
 0.926   0.84096   0.02523  135.
 0.928   0.84437   0.02533  135.
 0.930   0.84614   0.02538  135.
 0.932   0.84501   0.02535  135.
 0.934   0.84153   0.02525  135.
 0.936   0.83626   0.02509  135.
 0.938   0.82923   0.02488  135.
 0.940   0.82137   0.02464  135.
 0.942   0.81553   0.02447  135.
 0.944   0.81371   0.02441  135.
 0.946   0.81436   0.02443  135.
 0.948   0.81405   0.02442  135.
 0.950   0.81029   0.02431  135.
