;From Mike Nolan, edited to remove extra entries and to add header
;wavelength (microns)   flux (W/m2/nm)  smoothing
 1.906   0.14390   0.00432  234.
 1.908   0.14330   0.00430  234.
 1.910   0.14270   0.00428  234.
 1.912   0.14218   0.00427  234.
 1.914   0.14172   0.00425  234.
 1.916   0.14126   0.00424  234.
 1.918   0.14077   0.00422  234.
 1.920   0.14032   0.00421  234.
 1.922   0.13991   0.00420  234.
 1.924   0.13940   0.00418  234.
 1.926   0.13867   0.00416  234.
 1.928   0.13776   0.00413  234.
 1.930   0.13691   0.00411  234.
 1.932   0.13633   0.00409  234.
 1.934   0.13595   0.00408  234.
 1.936   0.13543   0.00406  234.
 1.938   0.13437   0.00403  234.
 1.940   0.13260   0.00398  234.
 1.942   0.13042   0.00391  235.
 1.944   0.12862   0.00386  235.
 1.946   0.12796   0.00384  235.
 1.948   0.12851   0.00386  235.
 1.950   0.12967   0.00389  235.
 1.952   0.13081   0.00392  235.
 1.954   0.13160   0.00395  235.
 1.956   0.13189   0.00396  235.
 1.958   0.13162   0.00395  235.
 1.960   0.13093   0.00393  235.
 1.962   0.13009   0.00390  235.
 1.964   0.12939   0.00388  235.
 1.966   0.12890   0.00387  235.
 1.968   0.12845   0.00385  235.
 1.970   0.12782   0.00383  235.
 1.972   0.12700   0.00381  235.
 1.974   0.12616   0.00378  235.
 1.976   0.12541   0.00376  235.
 1.978   0.12479   0.00374  235.
 1.980   0.12431   0.00373  235.
 1.982   0.12392   0.00372  235.
 1.984   0.12360   0.00371  235.
 1.986   0.12333   0.00370  235.
 1.988   0.12306   0.00369  235.
 1.990   0.12270   0.00368  235.
 1.992   0.12219   0.00367  235.
 1.994   0.12164   0.00365  235.
 1.996   0.12119   0.00364  235.
 1.998   0.12085   0.00363  235.
 2.000   0.12054   0.00362  235.
 2.002   0.12019   0.00361  235.
 2.004   0.11984   0.00360  235.
 2.006   0.11956   0.00359  235.
 2.008   0.11932   0.00358  235.
 2.010   0.11905   0.00357  235.
 2.012   0.11869   0.00356  235.
 2.014   0.11823   0.00355  235.
 2.016   0.11765   0.00353  236.
 2.018   0.11698   0.00351  236.
 2.020   0.11630   0.00349  236.
 2.022   0.11572   0.00347  236.
 2.024   0.11526   0.00346  236.
 2.026   0.11482   0.00344  236.
 2.028   0.11433   0.00343  236.
 2.030   0.11383   0.00341  236.
 2.032   0.11335   0.00340  236.
 2.034   0.11291   0.00339  236.
 2.036   0.11252   0.00338  236.
 2.038   0.11225   0.00337  236.
 2.040   0.11213   0.00336  236.
 2.042   0.11209   0.00336  236.
 2.044   0.11199   0.00336  236.
 2.046   0.11174   0.00335  236.
 2.048   0.11134   0.00334  236.
 2.050   0.11086   0.00333  236.
 2.052   0.11037   0.00331  236.
 2.054   0.10991   0.00330  236.
 2.056   0.10943   0.00328  236.
 2.058   0.10887   0.00327  236.
 2.060   0.10827   0.00325  236.
 2.062   0.10772   0.00323  236.
 2.064   0.10733   0.00322  236.
 2.066   0.10708   0.00321  236.
 2.068   0.10688   0.00321  236.
 2.070   0.10668   0.00320  236.
 2.072   0.10648   0.00319  236.
 2.074   0.10626   0.00319  236.
 2.076   0.10595   0.00318  236.
 2.078   0.10550   0.00316  236.
 2.080   0.10498   0.00315  236.
 2.082   0.10450   0.00314  236.
 2.084   0.10412   0.00312  236.
 2.086   0.10379   0.00311  236.
 2.088   0.10339   0.00310  236.
 2.090   0.10287   0.00309  236.
 2.092   0.10232   0.00307  237.
 2.094   0.10188   0.00306  237.
 2.096   0.10162   0.00305  237.
 2.098   0.10149   0.00304  237.
 2.100   0.10139   0.00304  237.
 2.102   0.10124   0.00304  237.
 2.104   0.10103   0.00303  237.
 2.106   0.10072   0.00302  237.
 2.108   0.10034   0.00301  237.
 2.110   0.09993   0.00300  237.
 2.112   0.09951   0.00299  237.
 2.114   0.09907   0.00297  237.
 2.116   0.09861   0.00296  237.
 2.118   0.09815   0.00294  237.
 2.120   0.09770   0.00293  237.
 2.122   0.09730   0.00292  237.
 2.124   0.09698   0.00291  237.
 2.126   0.09675   0.00290  237.
 2.128   0.09657   0.00290  237.
 2.130   0.09638   0.00289  237.
 2.132   0.09613   0.00288  237.
 2.134   0.09583   0.00288  237.
 2.136   0.09555   0.00287  237.
 2.138   0.09534   0.00286  237.
 2.140   0.09517   0.00286  237.
 2.142   0.09499   0.00285  237.
 2.144   0.09477   0.00284  237.
 2.146   0.09453   0.00284  237.
 2.148   0.09428   0.00283  237.
 2.150   0.09401   0.00282  237.
 2.152   0.09369   0.00281  237.
 2.154   0.09331   0.00280  237.
 2.156   0.09283   0.00278  237.
 2.158   0.09214   0.00276  237.
 2.160   0.09115   0.00273  237.
 2.162   0.08990   0.00270  237.
 2.164   0.08869   0.00266  237.
 2.166   0.08794   0.00264  237.
 2.168   0.08790   0.00264  237.
 2.170   0.08836   0.00265  237.
 2.172   0.08890   0.00267  238.
 2.174   0.08919   0.00268  238.
 2.176   0.08919   0.00268  238.
 2.178   0.08903   0.00267  238.
 2.180   0.08884   0.00267  238.
 2.182   0.08865   0.00266  238.
 2.184   0.08842   0.00265  238.
 2.186   0.08812   0.00264  238.
 2.188   0.08779   0.00263  238.
 2.190   0.08748   0.00262  238.
 2.192   0.08721   0.00262  238.
 2.194   0.08695   0.00261  238.
 2.196   0.08666   0.00260  238.
 2.198   0.08630   0.00259  238.
 2.200   0.08586   0.00258  238.
 2.202   0.08532   0.00256  238.
 2.204   0.08474   0.00254  238.
 2.206   0.08422   0.00253  238.
 2.208   0.08388   0.00252  238.
 2.210   0.08372   0.00251  238.
 2.212   0.08363   0.00251  238.
 2.214   0.08351   0.00251  238.
 2.216   0.08331   0.00250  238.
 2.218   0.08308   0.00249  238.
 2.220   0.08281   0.00248  238.
 2.222   0.08252   0.00248  238.
 2.224   0.08220   0.00247  238.
 2.226   0.08189   0.00246  238.
 2.228   0.08161   0.00245  238.
 2.230   0.08138   0.00244  238.
 2.232   0.08113   0.00243  238.
 2.234   0.08082   0.00242  238.
 2.236   0.08047   0.00241  238.
 2.238   0.08010   0.00240  238.
 2.240   0.07977   0.00239  238.
 2.242   0.07949   0.00238  238.
 2.244   0.07923   0.00238  238.
 2.246   0.07897   0.00237  238.
 2.248   0.07868   0.00236  238.
 2.250   0.07837   0.00235  238.
 2.252   0.07805   0.00234  238.
 2.254   0.07776   0.00233  238.
 2.256   0.07750   0.00232  238.
 2.258   0.07725   0.00232  239.
 2.260   0.07700   0.00231  239.
 2.262   0.07676   0.00230  239.
 2.264   0.07653   0.00230  239.
 2.266   0.07634   0.00229  239.
 2.268   0.07617   0.00229  239.
 2.270   0.07599   0.00228  239.
 2.272   0.07578   0.00227  239.
 2.274   0.07552   0.00227  239.
 2.276   0.07520   0.00226  239.
 2.278   0.07482   0.00224  239.
 2.280   0.07443   0.00223  239.
 2.282   0.07410   0.00222  239.
 2.284   0.07386   0.00222  239.
 2.286   0.07367   0.00221  239.
 2.288   0.07344   0.00220  239.
 2.290   0.07313   0.00219  239.
 2.292   0.07273   0.00218  239.
 2.294   0.07234   0.00217  239.
 2.296   0.07203   0.00216  239.
 2.298   0.07186   0.00216  239.
 2.300   0.07178   0.00215  239.
 2.302   0.07172   0.00215  239.
 2.304   0.07162   0.00215  239.
 2.306   0.07147   0.00214  239.
 2.308   0.07127   0.00214  239.
 2.310   0.07102   0.00213  239.
 2.312   0.07073   0.00212  239.
 2.314   0.07040   0.00211  239.
 2.316   0.07003   0.00210  239.
 2.318   0.06962   0.00209  239.
 2.320   0.06918   0.00208  239.
 2.322   0.06874   0.00206  239.
 2.324   0.06837   0.00205  239.
 2.326   0.06813   0.00204  239.
 2.328   0.06800   0.00204  239.
 2.330   0.06791   0.00204  239.
 2.332   0.06782   0.00203  239.
 2.334   0.06770   0.00203  239.
 2.336   0.06756   0.00203  239.
 2.338   0.06742   0.00202  239.
 2.340   0.06730   0.00202  239.
 2.342   0.06717   0.00202  239.
 2.344   0.06699   0.00201  239.
 2.346   0.06672   0.00200  239.
 2.348   0.06635   0.00199  239.
 2.350   0.06589   0.00198  239.
 2.352   0.06543   0.00196  240.
 2.354   0.06505   0.00195  240.
 2.356   0.06482   0.00194  240.
 2.358   0.06471   0.00194  240.
 2.360   0.06468   0.00194  240.
 2.362   0.06464   0.00194  240.
 2.364   0.06455   0.00194  240.
 2.366   0.06439   0.00193  240.
 2.368   0.06417   0.00193  240.
 2.370   0.06390   0.00192  240.
 2.372   0.06362   0.00191  240.
 2.374   0.06336   0.00190  240.
 2.376   0.06312   0.00189  240.
 2.378   0.06281   0.00188  240.
 2.380   0.06240   0.00187  240.
 2.382   0.06191   0.00186  240.
 2.384   0.06145   0.00184  240.
 2.386   0.06111   0.00183  240.
 2.388   0.06093   0.00183  240.
 2.390   0.06086   0.00182  240.
 2.392   0.06082   0.00181  240.
 2.394   0.06077   0.00179  240.
 2.396   0.06068   0.00176  240.
 2.398   0.06056   0.00171  240.
 2.400   0.06039   0.00164  240.
 2.405   0.05969   0.00136  240.
 2.410   0.05894   0.00119  240.
 2.415   0.05822   0.00116  240.
 2.420   0.05780   0.00116  240.
 2.425   0.05752   0.00115  240.
 2.430   0.05711   0.00114  240.
 2.435   0.05669   0.00113  240.
 2.440   0.05627   0.00113  240.
 2.445   0.05567   0.00111  240.
 2.450   0.05512   0.00110  240.
 2.455   0.05466   0.00109  240.
 2.460   0.05441   0.00109  240.
 2.465   0.05415   0.00108  240.
 2.470   0.05376   0.00108  240.
 2.475   0.05312   0.00106  240.
 2.480   0.05217   0.00104  240.
 2.485   0.05176   0.00104  240.
 2.490   0.05193   0.00104  240.
 2.495   0.05187   0.00104  240.
 2.500   0.05154   0.00103  240.
 2.505   0.05114   0.00102  240.
 2.510   0.05069   0.00101  240.
 2.515   0.05030   0.00101  240.
 2.520   0.04999   0.00100  240.
 2.525   0.04966   0.00099  240.
 2.530   0.04931   0.00099  240.
 2.535   0.04873   0.00097  240.
 2.540   0.04793   0.00096  240.
 2.545   0.04751   0.00095  240.
 2.550   0.04725   0.00094  240.
 2.555   0.04695   0.00094  240.
 2.560   0.04668   0.00093  240.
 2.565   0.04651   0.00093  240.
 2.570   0.04640   0.00093  240.
 2.575   0.04619   0.00092  240.
 2.580   0.04577   0.00092  240.
 2.585   0.04525   0.00090  240.
 2.590   0.04492   0.00090  240.
 2.595   0.04470   0.00089  240.
 2.600   0.04447   0.00089  240.
 2.605   0.04421   0.00088  240.
 2.610   0.04388   0.00088  240.
 2.615   0.04339   0.00087  240.
 2.620   0.04259   0.00085  240.
 2.625   0.04185   0.00084  240.
 2.630   0.04192   0.00084  240.
 2.635   0.04211   0.00084  240.
 2.640   0.04185   0.00084  240.
 2.645   0.04165   0.00083  240.
 2.650   0.04149   0.00083  240.
 2.655   0.04117   0.00082  240.
 2.660   0.04083   0.00082  240.
 2.665   0.04051   0.00081  240.
 2.670   0.04026   0.00081  240.
 2.675   0.04006   0.00080  240.
 2.680   0.03986   0.00080  239.
 2.685   0.03966   0.00079  239.
 2.690   0.03941   0.00079  239.
 2.695   0.03912   0.00078  239.
 2.700   0.03883   0.00078  239.
 2.705   0.03855   0.00077  239.
 2.710   0.03829   0.00077  239.
 2.715   0.03807   0.00076  239.
 2.720   0.03783   0.00076  239.
 2.725   0.03755   0.00075  239.
 2.730   0.03727   0.00075  239.
 2.735   0.03700   0.00074  239.
 2.740   0.03679   0.00074  239.
 2.745   0.03655   0.00073  239.
 2.750   0.03621   0.00072  239.
 2.755   0.03583   0.00072  239.
 2.760   0.03560   0.00071  239.
 2.765   0.03546   0.00071  239.
 2.770   0.03527   0.00071  239.
 2.775   0.03507   0.00070  239.
 2.780   0.03487   0.00070  239.
 2.785   0.03467   0.00069  239.
 2.790   0.03445   0.00069  239.
 2.795   0.03422   0.00068  239.
 2.800   0.03399   0.00068  239.
 2.805   0.03376   0.00068  239.
 2.810   0.03355   0.00067  239.
 2.815   0.03333   0.00067  239.
 2.820   0.03311   0.00066  239.
 2.825   0.03290   0.00066  239.
 2.830   0.03269   0.00065  239.
 2.835   0.03246   0.00065  239.
 2.840   0.03221   0.00064  239.
 2.845   0.03200   0.00064  239.
 2.850   0.03179   0.00064  239.
 2.855   0.03157   0.00063  239.
 2.860   0.03133   0.00063  239.
 2.865   0.03102   0.00062  239.
 2.870   0.03069   0.00061  239.
 2.875   0.03052   0.00061  239.
 2.880   0.03044   0.00061  239.
 2.885   0.03031   0.00061  239.
 2.890   0.03016   0.00060  239.
 2.895   0.03000   0.00060  239.
 2.900   0.02981   0.00060  372.
 2.905   0.02960   0.00059  372.
 2.910   0.02943   0.00059  372.
 2.915   0.02924   0.00058  372.
 2.920   0.02906   0.00058  372.
 2.925   0.02885   0.00058  371.
 2.930   0.02867   0.00057  371.
 2.935   0.02846   0.00057  371.
 2.940   0.02830   0.00057  371.
 2.945   0.02815   0.00056  371.
 2.950   0.02799   0.00056  371.
 2.955   0.02780   0.00056  371.
 2.960   0.02763   0.00055  371.
 2.965   0.02743   0.00055  371.
 2.970   0.02722   0.00054  371.
 2.975   0.02708   0.00054  371.
 2.980   0.02694   0.00054  371.
 2.985   0.02677   0.00054  371.
 2.990   0.02661   0.00053  371.
 2.995   0.02642   0.00053  370.
 3.000   0.02623   0.00052  370.
 3.005   0.02609   0.00052  370.
 3.010   0.02595   0.00052  370.
 3.015   0.02577   0.00052  370.
 3.020   0.02561   0.00051  370.
 3.025   0.02543   0.00051  370.
 3.030   0.02522   0.00050  370.
 3.035   0.02486   0.00050  370.
 3.040   0.02464   0.00049  370.
 3.045   0.02467   0.00049  370.
 3.050   0.02464   0.00049  370.
 3.055   0.02452   0.00049  370.
 3.060   0.02438   0.00049  370.
 3.065   0.02422   0.00048  369.
 3.070   0.02407   0.00048  369.
 3.075   0.02394   0.00048  369.
 3.080   0.02375   0.00048  369.
 3.085   0.02358   0.00047  369.
 3.090   0.02346   0.00047  369.
 3.095   0.02335   0.00047  369.
 3.100   0.02323   0.00046  369.
 3.105   0.02307   0.00046  369.
 3.110   0.02289   0.00046  369.
 3.115   0.02263   0.00045  369.
 3.120   0.02256   0.00045  369.
 3.125   0.02247   0.00045  369.
 3.130   0.02236   0.00045  369.
 3.135   0.02224   0.00044  369.
 3.140   0.02211   0.00044  369.
 3.145   0.02195   0.00044  368.
 3.150   0.02174   0.00043  368.
 3.155   0.02166   0.00043  368.
 3.160   0.02160   0.00043  368.
 3.165   0.02147   0.00043  368.
 3.170   0.02132   0.00043  368.
 3.175   0.02121   0.00042  368.
 3.180   0.02108   0.00042  368.
 3.185   0.02095   0.00042  368.
 3.190   0.02084   0.00042  368.
 3.195   0.02072   0.00041  368.
 3.200   0.02057   0.00041  368.
 3.205   0.02046   0.00041  368.
 3.210   0.02035   0.00041  368.
 3.215   0.02020   0.00040  368.
 3.220   0.02009   0.00040  368.
 3.225   0.02000   0.00040  368.
 3.230   0.01987   0.00040  368.
 3.235   0.01975   0.00039  368.
 3.240   0.01962   0.00039  368.
 3.245   0.01953   0.00039  368.
 3.250   0.01943   0.00039  368.
 3.255   0.01932   0.00039  368.
 3.260   0.01922   0.00038  368.
 3.265   0.01910   0.00038  368.
 3.270   0.01898   0.00038  368.
 3.275   0.01884   0.00038  368.
 3.280   0.01871   0.00037  368.
 3.285   0.01859   0.00037  368.
 3.290   0.01836   0.00037  368.
 3.295   0.01809   0.00036  368.
 3.300   0.01810   0.00036  368.
 3.305   0.01816   0.00036  368.
 3.310   0.01806   0.00036  368.
 3.315   0.01783   0.00036  368.
 3.320   0.01763   0.00035  368.
 3.325   0.01766   0.00035  368.
 3.330   0.01769   0.00035  368.
 3.335   0.01760   0.00035  368.
 3.340   0.01749   0.00035  368.
 3.345   0.01739   0.00035  368.
 3.350   0.01728   0.00035  368.
 3.355   0.01720   0.00034  368.
 3.360   0.01713   0.00034  368.
 3.365   0.01700   0.00034  368.
 3.370   0.01687   0.00034  368.
 3.375   0.01679   0.00034  368.
 3.380   0.01672   0.00033  368.
 3.385   0.01663   0.00033  368.
 3.390   0.01649   0.00033  368.
 3.395   0.01629   0.00033  368.
 3.400   0.01619   0.00032  368.
 3.405   0.01619   0.00032  368.
 3.410   0.01614   0.00032  368.
 3.415   0.01602   0.00032  368.
 3.420   0.01596   0.00032  368.
 3.425   0.01591   0.00032  368.
 3.430   0.01583   0.00032  368.
 3.435   0.01574   0.00031  368.
 3.440   0.01565   0.00031  368.
 3.445   0.01557   0.00031  368.
 3.450   0.01549   0.00031  368.
 3.455   0.01538   0.00031  368.
 3.460   0.01530   0.00031  368.
 3.465   0.01522   0.00030  368.
 3.470   0.01514   0.00030  368.
 3.475   0.01507   0.00030  368.
 3.480   0.01498   0.00030  368.
 3.485   0.01489   0.00030  368.
 3.490   0.01480   0.00030  368.
 3.495   0.01471   0.00029  368.
 3.500   0.01462   0.00029  368.
 3.505   0.01454   0.00029  368.
 3.510   0.01447   0.00029  368.
 3.515   0.01439   0.00029  368.
 3.520   0.01430   0.00029  368.
 3.525   0.01423   0.00028  368.
 3.530   0.01415   0.00028  368.
 3.535   0.01407   0.00028  368.
 3.540   0.01400   0.00028  368.
 3.545   0.01395   0.00028  369.
 3.550   0.01389   0.00028  369.
 3.555   0.01381   0.00028  369.
 3.560   0.01374   0.00027  369.
 3.565   0.01368   0.00027  369.
 3.570   0.01359   0.00027  369.
 3.575   0.01351   0.00027  369.
 3.580   0.01343   0.00027  369.
 3.585   0.01337   0.00027  369.
 3.590   0.01330   0.00027  369.
 3.595   0.01323   0.00026  369.
 3.600   0.01317   0.00026  369.
 3.605   0.01311   0.00026  369.
 3.610   0.01304   0.00026  369.
 3.615   0.01297   0.00026  369.
 3.620   0.01290   0.00026  369.
 3.625   0.01283   0.00026  369.
 3.630   0.01275   0.00025  369.
 3.635   0.01265   0.00025  369.
 3.640   0.01256   0.00025  369.
 3.645   0.01252   0.00025  369.
 3.650   0.01247   0.00025  369.
 3.655   0.01240   0.00025  369.
 3.660   0.01234   0.00025  369.
 3.665   0.01228   0.00025  369.
 3.670   0.01218   0.00024  369.
 3.675   0.01206   0.00024  369.
 3.680   0.01198   0.00024  369.
 3.685   0.01199   0.00024  369.
 3.690   0.01195   0.00024  369.
 3.695   0.01185   0.00024  369.
 3.700   0.01181   0.00024  369.
 3.705   0.01179   0.00024  369.
 3.710   0.01173   0.00023  369.
 3.715   0.01166   0.00023  369.
 3.720   0.01160   0.00023  369.
 3.725   0.01155   0.00023  369.
 3.730   0.01147   0.00023  369.
 3.735   0.01133   0.00023  369.
 3.740   0.01118   0.00022  369.
 3.745   0.01116   0.00022  369.
 3.750   0.01120   0.00022  369.
 3.755   0.01120   0.00022  369.
 3.760   0.01115   0.00022  369.
 3.765   0.01110   0.00022  369.
 3.770   0.01105   0.00022  369.
 3.775   0.01099   0.00022  369.
 3.780   0.01094   0.00022  369.
 3.785   0.01088   0.00022  369.
 3.790   0.01083   0.00022  369.
 3.795   0.01078   0.00022  369.
 3.800   0.01072   0.00021  369.
 3.805   0.01067   0.00021  369.
 3.810   0.01062   0.00021  369.
 3.815   0.01056   0.00021  369.
 3.820   0.01051   0.00021  369.
 3.825   0.01046   0.00021  369.
 3.830   0.01040   0.00021  369.
 3.835   0.01033   0.00021  369.
 3.840   0.01028   0.00021  369.
 3.845   0.01024   0.00020  369.
 3.850   0.01018   0.00020  369.
 3.855   0.01010   0.00020  369.
 3.860   0.00998   0.00020  369.
 3.865   0.00982   0.00020  369.
 3.870   0.00978   0.00020  369.
 3.875   0.00981   0.00020  369.
 3.880   0.00976   0.00020  369.
 3.885   0.00967   0.00019  369.
 3.890   0.00960   0.00019  369.
 3.895   0.00955   0.00019  369.
 3.900   0.00953   0.00019  369.
 3.905   0.00950   0.00019  369.
 3.910   0.00947   0.00019  369.
 3.915   0.00948   0.00019  369.
 3.920   0.00948   0.00019  369.
 3.925   0.00944   0.00019  369.
 3.930   0.00939   0.00019  369.
 3.935   0.00935   0.00019  369.
 3.940   0.00932   0.00019  369.
 3.945   0.00927   0.00019  369.
 3.950   0.00922   0.00018  369.
 3.955   0.00918   0.00018  369.
 3.960   0.00914   0.00018  369.
 3.965   0.00907   0.00018  369.
 3.970   0.00901   0.00018  369.
 3.975   0.00894   0.00018  369.
 3.980   0.00887   0.00018  369.
 3.985   0.00881   0.00018  369.
 3.990   0.00878   0.00018  369.
 3.995   0.00874   0.00017  369.
 4.000   0.00871   0.00017  369.
 4.005   0.00870   0.00017  369.
 4.010   0.00867   0.00017  369.
 4.015   0.00861   0.00017  369.
 4.020   0.00858   0.00017  369.
 4.025   0.00856   0.00017  369.
 4.030   0.00853   0.00017  369.
 4.035   0.00849   0.00017  369.
 4.040   0.00843   0.00017  369.
 4.045   0.00835   0.00017  369.
 4.050   0.00823   0.00016  369.
 4.055   0.00822   0.00016  369.
 4.060   0.00824   0.00016  369.
 4.065   0.00823   0.00016  369.
 4.070   0.00821   0.00016  369.
 4.075   0.00818   0.00016  369.
 4.080   0.00814   0.00016  369.
 4.085   0.00809   0.00016  369.
 4.090   0.00807   0.00016  369.
 4.095   0.00804   0.00016  369.
 4.100   0.00800   0.00016  369.
 4.105   0.00796   0.00016  369.
 4.110   0.00791   0.00016  369.
 4.115   0.00789   0.00016  369.
 4.120   0.00786   0.00016  370.
 4.125   0.00782   0.00016  370.
 4.130   0.00777   0.00016  370.
 4.135   0.00773   0.00015  370.
 4.140   0.00769   0.00015  370.
 4.145   0.00766   0.00015  370.
 4.150   0.00764   0.00015  370.
 4.155   0.00761   0.00015  370.
 4.160   0.00757   0.00015  370.
 4.165   0.00753   0.00015  370.
 4.170   0.00749   0.00015  370.
 4.175   0.00745   0.00015  370.
 4.180   0.00741   0.00015  370.
 4.185   0.00738   0.00015  370.
 4.190   0.00735   0.00015  370.
 4.195   0.00730   0.00015  370.
 4.200   0.00723   0.00014  370.
 4.205   0.00718   0.00014  370.
 4.210   0.00719   0.00014  370.
 4.215   0.00719   0.00014  370.
 4.220   0.00718   0.00014  370.
 4.225   0.00715   0.00014  370.
 4.230   0.00711   0.00014  370.
 4.235   0.00708   0.00014  370.
 4.240   0.00705   0.00014  370.
 4.245   0.00701   0.00014  370.
 4.250   0.00698   0.00014  370.
 4.255   0.00695   0.00014  370.
 4.260   0.00692   0.00014  370.
 4.265   0.00689   0.00014  370.
 4.270   0.00686   0.00014  370.
 4.275   0.00683   0.00014  371.
 4.280   0.00680   0.00014  371.
 4.285   0.00676   0.00014  371.
 4.290   0.00667   0.00013  371.
 4.295   0.00654   0.00013  371.
 4.300   0.00649   0.00013  371.
 4.305   0.00650   0.00013  371.
 4.310   0.00649   0.00013  371.
 4.315   0.00647   0.00013  371.
 4.320   0.00645   0.00013  371.
 4.325   0.00643   0.00013  371.
 4.330   0.00640   0.00013  371.
 4.335   0.00638   0.00013  371.
 4.340   0.00635   0.00013  371.
